Text,Label
Как готовить цыпленка . пиццу,COOKING
Какой у меня сегодня плейлист дня,PLAY_MUSIC
Отмени будильники на выходных,SET_ALARM
Сколько будет стоить сити мобил до Шереметьево?,ORDER_TAXI
С тобой весело,LEGEND
Сколько до дома,NAVIGATE
"Закажите столик в ресторане, который находится в нескольких минутах ходьбы",BOOK_RESTAURANT
Погода на завтра,WEATHER
Закажи сейчас самое дешевое такси до марьино,ORDER_TAXI
Отправь по телефону деньги,P2P_TRANSFER
Расскажи о погоде во вторник,WEATHER
Что такое интеллект?,ODQA
Ты ошиблась,FAIL_FEEDBACK
Кто твой босс?,LEGEND
Поставь композицию Imagine Dragons,PLAY_MUSIC
Сколько я потратил на продукты питания,CHECK_ACCOUNT 
Какое число сегодня?,TIME
Ожидаются ли завтра осадки,WEATHER
Как готовить цыпленка . пиццу хочу,COOKING
Стоит ожидать завтра снег,WEATHER
Расскажи самую смешную шутку года,READ_JOKE
Поставь треки для вечеринки,PLAY_MUSIC
Хочу слушать новости на Вести фм,PLAY_RADIO
Когда жил Наполеон?,ODQA
Я тебя убью,LEGEND
Таймер на семь минут и тридцать секунд,SET_TIMER
Как относишься к Путину? ,LEGEND
 Уроки игры на гитаре на ютубе,PLAY_MOVIE
Забронировать место в ресторане тайской кухни,BOOK_RESTAURANT
Сколько стоит куб горячей воды,COMMUNAL_PAYMENTS
Кто президент России?,ODQA
Построй дорогу до музея,NAVIGATE
Прогнозируется ли снег на завтра?,WEATHER
Пошути,READ_JOKE
Открой канал орел и решка,PLAY_MOVIE
Есть ли свободные места в ресторане с живой музыкой,BOOK_RESTAURANT
Вызови сити мобил до дома,ORDER_TAXI
Сколько идти до метро Нагатинская?,NAVIGATE
Погода в Подмосковье,WEATHER
Радио включи пожалуйста ,PLAY_RADIO
Запусти повара,COOKING
Поставь кино,PLAY_MOVIE
Можешь подобрать блюдо по продуктам?,COOKING
Кто президент Германии?,ODQA
В четыре часа дня мне нужен стол на восемь человек в ресторане на Лубянке,BOOK_RESTAURANT
Какие события в Риме?,READ_NEWS
Кто написал Войну и Мир?,ODQA
Включи самый лучший альбом Imagine Dragons,PLAY_MUSIC
Самое высокое здание в мире . Где оно находится?,ODQA
Сливаешь инфу?,LEGEND
Льет ли дождь сейчас в Одинцово? . А вечером?,WEATHER
Нужно ли надеть сегодня подштанники? ,WEATHER
Как добраться до бара Люстра,NAVIGATE
Как сделать батарейку обучающее видео,PLAY_MOVIE
Какой самый смешной анекдот,READ_JOKE
Уехать на сити мобиле в университет,ORDER_TAXI
Какой синоним у слова покорность?,ODQA
Позови повара,COOKING
Кто такой Менделеев? . Где он жил?,ODQA
Сколько стоил газ в апреле?,COMMUNAL_PAYMENTS
Включи плейлист репчик,PLAY_MUSIC
Что вышло у моих любимых исполнителей за последний год.,PLAY_MUSIC
Разбуди меня в течение пять часов,SET_ALARM
Сколько я буду ехать на маршрутке до дома . А до университета?,NAVIGATE
Где перекусить поблизости? . Проложи дорогу до туда,NAVIGATE
Что нового в мире?,READ_NEWS
Заказать такси до улицы Гагарина дом семьдесят три,ORDER_TAXI
Включи музыкальные новинки в стиле латина,PLAY_MUSIC
Создай новое напоминание для Саши,REMINDER
Расскажи о себе,LEGEND
Можешь рассказать что нибудь веселое?,READ_JOKE
Будет ли сегодня жарче в Москве?,WEATHER
Мне нужен отпуск,LEGEND
одна тысяча рублей отправь на карту с номером одна тысяча двести тридцать один две тысячи триста двенадцать три тысячи сто двадцать три одна тысяча двести двадцать три,P2P_TRANSFER
Нужно такси через три часа до аэропорта,ORDER_TAXI
Вруби самый известный альбом System of a Down,PLAY_MUSIC
Знаешь Сири?,LEGEND
Что такое нарды?,ODQA
Когда умер Пушкин?,ODQA
Поищи советские фильмы про войну,PLAY_MOVIE
Сделай работу над ошибками,FAIL_FEEDBACK
Последний выпуск Николая Соболева,PLAY_MOVIE
Кто создал радио?,ODQA
Как тебе Трамп?  . А Путин?,LEGEND
Сделай напоминание,REMINDER
Поставь самый известный альбом Rammstein,PLAY_MUSIC
О чем пишут в СМИ?,READ_NEWS
Не мешай,HARD_COMMAND
В какому году была Сталинградская битва?,ODQA
Какой прогноз на выходные?,WEATHER
Ты реальна?,LEGEND
Включи подборку для меня,PLAY_MUSIC
Займемся готовкой,COOKING
Как можно получить кредит на покупку машины,SBER_PRODUCTS
Поздравь меня!,LEGEND
Я хочу забронировать место в ресторане,BOOK_RESTAURANT
Поставь громкость на максимум,HARD_COMMAND
Включи трейлеры новинок кино,PLAY_MOVIE
Как быстрее добраться до работы,NAVIGATE
"Мне нужен стол на восемь человек в пабе с высоким рейтингом, где подают вкусные супы",BOOK_RESTAURANT
Где могу потратить свои бонусы Спасибо  ,SBER_PRODUCTS
Замолчи,HARD_COMMAND
Будильник на десять утра,SET_ALARM
Ты умная? ,LEGEND
Как поживаешь? ,LEGEND
Давай оплатим за квартиру,COMMUNAL_PAYMENTS
Сбербанк классный,LEGEND
Хочу поговорить с тобой,CHITCHAT
Сколько лет Трампу?,ODQA
Рассмеши меня,READ_JOKE
Напомни купить еду котикам,REMINDER
Хочу послушать последнюю радиостанцию,PLAY_RADIO
"Можешь пожалуйста сказать, пойдет ли сегодня снег?",WEATHER
Сколько варить яйца всмятку?,COOKING
Давайте включи элджэя,PLAY_MUSIC
Покажи автобусную остановку . Проложи путь до нее,NAVIGATE
Не тупи,FAIL_FEEDBACK
Сколько лет Трампу? . А где он родился?,ODQA
Расскажи мне новости спорта,READ_NEWS
Поставь музыку фоном,PLAY_MUSIC
Кто чемпион мира по футболу?,ODQA
Поставь музыку,PLAY_MUSIC
Удали встречу которая на семь вечера сегодня,CALENDAR
Давай послушаем музыку,PLAY_MUSIC
Открой стенфордские лекции на ютубе,PLAY_MOVIE
Поболтаем?,CHITCHAT
Удали все на сегодня из календаря ,CALENDAR
Нужен кредит на десять миллионов ,SBER_PRODUCTS
Закажи яндекс такси до Арбата,ORDER_TAXI
Я завтра замерзну?,WEATHER
Где находится самый длинный мост?,ODQA
Топ-десять популярных треков девяносто-х,PLAY_MUSIC
Слушать радио,PLAY_RADIO
Ты ошиблась,FAIL_FEEDBACK
Новости о футболе,READ_NEWS
Открой историю присмотров youtube,PLAY_MOVIE
Закажите столик на девять человек на четыре часа дня в Джонсоне,BOOK_RESTAURANT
Новости дня,READ_NEWS
Смотреть первый сезон Симпсонов,PLAY_MOVIE
Ты не права,FAIL_FEEDBACK
Сколько сезонов в Игре Престолов?,ODQA
Когда будем в магазине напомни купить еду котикам,REMINDER
Какие вклады можно сделать в Сбере,SBER_PRODUCTS
Как вкусно приготовить свинину? ,COOKING
Давай сварим суп,COOKING
Разбуди в одиннадцать,SET_ALARM
Погода для моего текущего местоположения,WEATHER
Забронировать ресторан с парковкой на три,BOOK_RESTAURANT
Ты неправильно меня поняла,FAIL_FEEDBACK
Пиво это что?,ODQA
Врубай новости фм,PLAY_RADIO
Новости про Путина,READ_NEWS
Что ты умеешь?,LEGEND
Напомни поставить напоминание через месяц,REMINDER
Сколько лет Ярославлю?,ODQA
Скажи прогноз на понедельник,WEATHER
С какими странами граничит Польша?,ODQA
Кто написал Отверженных?,ODQA
Хочу забронировать столик для двоих в ресторане на Белорусской,BOOK_RESTAURANT
Поставь напоминание,REMINDER
Кто придумал салат Цезарь?,ODQA
Сколько время?,TIME
Включи дисплей,HARD_COMMAND
Прибавь громкость,HARD_COMMAND
Необычное имя у тебя,LEGEND
как тебя зовут,LEGEND
Включи  БИ-два,PLAY_MUSIC
Скажи гиковскую шутку,READ_JOKE
Я не это имел ввиду,FAIL_FEEDBACK
Включи популярные песни одна тысяча девятьсот девяносто один года,PLAY_MUSIC
Хочу поговорить,CHITCHAT
Как проехать до Третьяковской галереи?,NAVIGATE
Пойдет ли дождь в субботу вечером?,WEATHER
Поставь рэп,PLAY_MUSIC
Знаешь Алексу?,LEGEND
Стой,HARD_COMMAND
Ты ругаешься?,LEGEND
Прочитай новости Медузы,READ_NEWS
Покажи дорогу до библиотеки,NAVIGATE
Болтать будем,CHITCHAT
Вызвать убер . Когда приедет машина?,ORDER_TAXI
Напомни позвонить маме,REMINDER
Где у меня есть подписки?,PLAY_MOVIE
Закажи такси через час на улицу пушкина и до ресторана Магадан,ORDER_TAXI
Давай побазарим,CHITCHAT
Какое красивое имя у тебя,LEGEND
Как взять кредит,SBER_PRODUCTS
Хочу поужинать в ресторане в семь часов вечера,BOOK_RESTAURANT
Когда состоялось Крещение Руси?,ODQA
Давай готовить что-нибудь из пасты,COOKING
Напомни Саше зайти к репетитору,REMINDER
Включи радио с новостями,PLAY_RADIO
Что посмотреть вечером?,PLAY_MOVIE
Кто открыл Америку?,ODQA
Как подать заявку на кредит онлайн,SBER_PRODUCTS
Забронировать стол в кафе на одного в районе Тульской,BOOK_RESTAURANT
Запусти третий альбом Шакиры,PLAY_MUSIC
Зачитай последние новости,READ_NEWS
Такси через десять минут до улицы Планетной дом один . Лучше через двадцать,ORDER_TAXI
Запиши соль в покупки,SHOPPING_LIST
Хочу приготовить суп,COOKING
Выступление Фредди Меркьюри с Монсеррат Кабалье ,PLAY_MOVIE
Включи последнюю радиостанцию,PLAY_RADIO
Где находится Статуя Свободы?,ODQA
Будет ли холодно в следующую среду?,WEATHER
Сколько градусов в понедельник?,WEATHER
Закажи столик в пивном ресторане недалеко от Сокольников,BOOK_RESTAURANT
Какой день сегодня?,TIME
Включи Дискавери канал,PLAY_MOVIE
Включи все каверы Last Christmas,PLAY_MUSIC
Поставь будильник на семь утра,SET_ALARM
Покажи дорогу до улицы Херсонской дом три,NAVIGATE
Сколько будет пять плюс семь,CALCULATOR
Когда перестанет идти град,WEATHER
Включи мою подборку,PLAY_MUSIC
Как можно получить потребительский кредит ,SBER_PRODUCTS
Позвои шефа,COOKING
Какой любимый фильм?,LEGEND
Будут свободные столы сегодня вечером в ресторане Елки Палки?,BOOK_RESTAURANT
Сколько лет Никите Михалкову? . А Владимиру Познеру?,ODQA
Ты замужем?,LEGEND
Готовить еду,COOKING
Кто тебя создал?,LEGEND
Вызвать самое дешевое такси до Бургер Кинга,ORDER_TAXI
Где ближайшая винотека,NAVIGATE
В Вашингтоне в три часа дня будет теплее?,WEATHER
Громкость плюс один,HARD_COMMAND
Уехать на убере до метро Динамо,ORDER_TAXI
Заказать стол в ресторане,BOOK_RESTAURANT
Отсчитай двадцать секунд,SET_TIMER
Какой прогноз погоды для моей текущей позиции?,WEATHER
Ближайший стадион . Дорога до него,NAVIGATE
Отмени заказ стола,BOOK_RESTAURANT
Вруби что-нибудь по радио,PLAY_RADIO
Это не то что я просил,FAIL_FEEDBACK
Кто такой фрилансер?,ODQA
Найти столик на три человека где-нибудь в Одинцово,BOOK_RESTAURANT
Закажи ресторан в деревенском стиле на двадцать человек,BOOK_RESTAURANT
Давай сделаем веганский кекс,COOKING
С какими странами граничит Польша? . А Беларусь?,ODQA
Первый элемент таблицы Менделеева,ODQA
Вруби грустную музыку,PLAY_MUSIC
Удали второй пункт из списка покупок,SHOPPING_LIST
Включи самый популярный альбом Rolling Stones,PLAY_MUSIC
Покажи ближайшую парковку,NAVIGATE
Каким маршрутом мне ехать домой . А до работы?,NAVIGATE
Покажи дорогу до офиса,NAVIGATE
"Забронировать столик в ресторане, где подают блюда бразильской кухни на девять человек",BOOK_RESTAURANT
Что из новинок посмотреть?,PLAY_MOVIE
Говоришь по-французски?,LEGEND
Отними сто пять от тысяча семь,CALCULATOR
В воскресенье будет гололедица?,WEATHER
Острое блюдо с курицей.,COOKING
Предложи фильмы на вечер,PLAY_MOVIE
Погода на завтра . И на пятницу,WEATHER
Как добраться до ашана? . Сколько это займет по времени?,NAVIGATE
Утром будет тепло?,WEATHER
Приготовим салат Оливье?,COOKING
Добавь шампунь в список,SHOPPING_LIST
Поставь какое-нибудь  кино,PLAY_MOVIE
Запусти радио эхо Москвы,PLAY_RADIO
Какой кредит ты мне можешь предложить,SBER_PRODUCTS
Что я не смотрел из топ сто фильмов?,PLAY_MOVIE
Где ближайший магазин? . Как до него добраться?,NAVIGATE
Поставь прошлогодний альбом Muse,PLAY_MUSIC
Мерри Поппинс возвращается в хорошем качестве  . Включай следующую часть,PLAY_MOVIE
Что можно приготовить из тыквы?,COOKING
Каков прогноз на субботу?,WEATHER
Сегодня холодно?  . А в четверг?,WEATHER
Напомни мне помыть посуду когда приду домой,REMINDER
Включи радио с блюзом,PLAY_RADIO
Как доехать до дома?,NAVIGATE
Сильный туман в Вологде?,WEATHER
Выключи музыку,PLAY_MUSIC
Поставь последнюю песню Элджея,PLAY_MUSIC
Новости Первого Канала,READ_NEWS
Какая погода будет в Турции на следующей неделе?,WEATHER
Завтра жарко?,WEATHER
Поставь басту,PLAY_MUSIC
Запусти Европу плюс . А теперь радио джаз,PLAY_RADIO
Как дешевле добраться до китай-города,NAVIGATE
Давай послушаем романтическую музыку,PLAY_MUSIC
Включи радио,PLAY_RADIO
Когда умер Сталин? . А родился?,ODQA
Какой прогноз на завтра в Москве,WEATHER
Где обитаешь?,LEGEND
Можешь заказать такси на конкретное время?,ORDER_TAXI
Вызвать такси до станции метро Лубянка,ORDER_TAXI
Хочу покататься ,ORDER_TAXI
Хочу сварить вкусный суп,COOKING
Переставь будильник на через пол часа,SET_ALARM
Закажи такси на шоссе энтузиастов двадцать,ORDER_TAXI
Включи музыку снимающую стресс,PLAY_MUSIC
Напомни мне вернуть долг Роману за билеты когда придет зарплата,REMINDER
Что мне сегодня делать? ,LEGEND
Ты существуешь?,LEGEND
Заказать яндекс такси до улицы Лебедева,ORDER_TAXI
Приготовим завтрак?,COOKING
Включи саундтрэк к фильму интерстеллар,PLAY_MUSIC
Газпром это что такое?,ODQA
Хочу посмотреть детектив,PLAY_MOVIE
Включи коллекцию классической музыки,PLAY_MUSIC
Вызвать сити мобил,ORDER_TAXI
Вызвать такси до ближайшего Старбакса,ORDER_TAXI
Подай машину к дому,ORDER_TAXI
Что такое нарды? . А шахматы?,ODQA
Как тебе сбер?,LEGEND
Попроси жену купить сливки когда она будет в магазине,REMINDER
Расскажи новый анекдот,READ_JOKE
Кто летал на Луну?,ODQA
Что там пишут на Ленте?,READ_NEWS
Прочитай свежие новости,READ_NEWS
Какие у тебя есть рецепты?,COOKING
Срочно закажи убер до Чистых Прудов,ORDER_TAXI
Какие фильмы предпочитаешь?,LEGEND
Построй дорогу до дома,NAVIGATE
Оплати коммунальные за январь,COMMUNAL_PAYMENTS
Хочу послушать радио,PLAY_RADIO
Где взять денег?,LEGEND
Хочу Muse,PLAY_MUSIC
Ты андроид?,LEGEND
Расскажи о погоде во вторник . И в среду,WEATHER
Ты меня любишь?,LEGEND
Хочу вызвать такси до работы . Сколько это будет стоить?,ORDER_TAXI
В чём смысл жизни?,LEGEND
поставь кино . поставь фильм,PLAY_MOVIE
Закажи такси до офиса,ORDER_TAXI
Каков прогноз погоды на сегодня?,WEATHER
Включи какое-нибудь радио ,PLAY_RADIO
Хочу джаза,PLAY_MUSIC
Вруби самый популярный альбом Киркорова,PLAY_MUSIC
Стоимость покупки доллара,CURRENCY
Ты умеешь развлекать людей?,LEGEND
Будет ли метель завтра в четыре часа дня?,WEATHER
Покажи карту осадков,WEATHER
На что ты способна?,LEGEND
Сделай дисплей ярче,HARD_COMMAND
Включи новые рекомендации на YouTube,PLAY_MOVIE
 Хочу посмотреть лекции по тюнингу нейронных сетей,PLAY_MOVIE
Запиши купить спички и уголь,SHOPPING_LIST
Вруби самый продаваемый альбом Green Day,PLAY_MUSIC
Вызвать убер на улицу Чкалова,ORDER_TAXI
Ты ошибаешься,FAIL_FEEDBACK
что ты умеешь делать,LEGEND
Как добраться до ашана?,NAVIGATE
Как доехать до Нахимовского проспекта?,NAVIGATE
Удали все напоминания,REMINDER
Новости московского метро,READ_NEWS
Оплати за свет,COMMUNAL_PAYMENTS
Поставь проигрывать первый альбом Шакиры,PLAY_MUSIC
Напомни мне сходить на днюху,REMINDER
Какой тариф на электроэнергию,COMMUNAL_PAYMENTS
Какое херовое имя,LEGEND
Курс покупки доллара,CURRENCY
Как доехать до метро Белорусская?,NAVIGATE
"Пожалуйста, забронируй столик в ресторане, где подают вкусные салаты",BOOK_RESTAURANT
Включи последний трек летая,PLAY_MUSIC
Самое высокое здание в мире,ODQA
Вруби оксимирона,PLAY_MUSIC
Что посмотреть бесплатно?,PLAY_MOVIE
Есть ли дол по коммунальным платежам,COMMUNAL_PAYMENTS
Измени время будильника на девять вечера,SET_ALARM
Где ближайшая заправка,NAVIGATE
Льет ли дождь сейчас в Одинцово?,WEATHER
Вызови убер через час до дома два по улице Ватутина,ORDER_TAXI
Поставь какое-нибудь  кино . перемотай дальше,PLAY_MOVIE
Потанцуем?,LEGEND
Хочу приготовить еду,COOKING
Приготовим ужин?,COOKING
Сколько ехать на машине до Праги ,NAVIGATE
Подай сити мобил через пятнадцать минут,ORDER_TAXI
Хочу вызвать такси до работы,ORDER_TAXI
Как добраться до Бургер Кинга?,NAVIGATE
Я хотел бы забронировать ресторан в Понча-Спрингс на восемь часов утра,BOOK_RESTAURANT
Такси до улицы Маковского дом два . ,ORDER_TAXI
Ты несешь чушь,FAIL_FEEDBACK
С какой ты планеты?,LEGEND
Есть пробки поблизости?,NAVIGATE
Надевать пальто во вторник?,WEATHER
Пойдет ли завтра град,WEATHER
Будет туман послезавтра?,WEATHER
Перечисли деньги за воду,COMMUNAL_PAYMENTS
Включи интерстеллар на английском . Теперь на русском,PLAY_MOVIE
Последние события в Китае,READ_NEWS
Хочу узнать прогноз на ближайшие несколько дней,WEATHER
Как можно снизить процентную ставку по ипотеке ?,SBER_PRODUCTS
Второй альбом Тимати,PLAY_MUSIC
Очисть мой календарь на сегодня,CALENDAR
Какая погода в Москве?,WEATHER
Поставь избранные аудиозаписи,PLAY_MUSIC
Какая погода вечером?,WEATHER
Покажи погоду на ближайшие пять часов?,WEATHER
Как  рефинансировать ипотеку,SBER_PRODUCTS
Какой радиус Земли,ODQA
Тебе нравится осень?,LEGEND
Какая сегодня и завтра температура?,WEATHER
Включи коммерсант фм,PLAY_RADIO
Что такое демократия?,ODQA
Ты можешь меня рассмешить?,READ_JOKE
Я расстроен твоим поведением,FAIL_FEEDBACK
Скажи последние новости с яндекса,READ_NEWS
Новости дождя,READ_NEWS
Площадь России,ODQA
Напомнить Саше про репетитора после школы,REMINDER
Поставь фоном легкую музыку,PLAY_MUSIC
Расскажи какой-нибудь рецепт,COOKING
Вы лучшие,LEGEND
Напомни в восемь вечера сходить за кофе,REMINDER
Поставь кино . напомни какое кино я смотрел вчера,PLAY_MOVIE
Поставь песню про еду,PLAY_MUSIC
Ты знаешь шутки про путина?,READ_JOKE
Переведи пятьсот рублей сыну на карту,P2P_TRANSFER
Почему у пиратов Карибского моря Серги в ушах,ODQA
Сколько стоит газ для народа,COMMUNAL_PAYMENTS
Поставь будильник на полдень . Отмени его,SET_ALARM
Самое дешевое такси до улицы Гончарова дом четырнадцать,ORDER_TAXI
Отправь жене пять тысяч рублей на Сберовскую карту,P2P_TRANSFER
напомни мне свое имя,LEGEND
Включи болталку,CHITCHAT
Какие ставки по депозитам ,SBER_PRODUCTS
Надевать завтра кроссовки?,WEATHER
Любимая исполнительница,LEGEND
Поболтаешь со мной?,CHITCHAT
Есть анекдот?,READ_JOKE
Оплати квартплату за июнь,COMMUNAL_PAYMENTS
Уехать на такси в Шереметьево,ORDER_TAXI
поставь кино,PLAY_MOVIE
Ты можешь включить Гугл музыку? ,PLAY_MUSIC
Ты способна думать?,LEGEND
Закажи сити мобил до Шереметьево,ORDER_TAXI
Закажи такси на завтра до домодедово на шесть утра бизнес класс.,ORDER_TAXI
Включи последнюю часть Гарри Поттера ,PLAY_MOVIE
Расскажи какая будет погода на следующей неделе,WEATHER
Вечером пойдет снег?,WEATHER
Остановись ,HARD_COMMAND
Дорога до улицы Нагатинской,NAVIGATE
Такси до ближайшей станции метро,ORDER_TAXI
Построй путь до больницы,NAVIGATE
Хочу поболтать,CHITCHAT
Дорога до метро Кузьминки,NAVIGATE
Где находится Эрмитаж?,ODQA
Мне нужна погода на завтра в Москве,WEATHER
Включи популярную музыку во Франции,PLAY_MUSIC
Что сейчас слушает молодежь? . А раньше?,PLAY_MUSIC
Забронируй столик в ближайшем пабе на шесть часов вечера,BOOK_RESTAURANT
Какой у меня индекс,NAVIGATE
Как дела? ,LEGEND
Перенеси встречу с коллегами в другое место,CALENDAR
Закажи столик на двух человек на вечер следующего четверга,BOOK_RESTAURANT
Поменяй мелодию будильника ,SET_ALARM
Напоминай мне каждый день в восемь часов вечера выпить таблетку,REMINDER
В каком году была Первая мировая война?,ODQA
Слушать авторадио,PLAY_RADIO
Заведи будильник на восемь часов,SET_ALARM
Пойдет ли дождь в ближайший час?,WEATHER
Какая у тебя религия?,LEGEND
Завтра будет холоднее?,WEATHER
Поставь будильник на полдень,SET_ALARM
Уехать в Одинцово на такси . Сколько займет дорога?,ORDER_TAXI
Предложи какую-нибудь мелодрамму,PLAY_MOVIE
напомни мне как тебя зовут,LEGEND
Включай таймер,SET_TIMER
Мне нужно бронирование на семь человек в пабе неподалеку,BOOK_RESTAURANT
Включи радио джаз,PLAY_RADIO
Ты любишь пиццу?,LEGEND
Поставь будильник на семь,SET_ALARM
Включи оксимирон горгород,PLAY_MUSIC
Проверь погоду на ближайшие три дня,WEATHER
Я тебе нравлюсь?,LEGEND
Как закодироваться?,LEGEND
Вызови такси до дома,ORDER_TAXI
Сколько я потратил в прошлом месяце,CHECK_ACCOUNT 
Запусти горячие хиты девяностох,PLAY_MUSIC
Найди пожалуйста песню про декабрь ,PLAY_MUSIC
Расскажи о достоинствах,LEGEND
Сводку с полей,READ_NEWS
Скажи мне какая погода сегодня в Хельсинки?,WEATHER
Забронируй пожалуйста место в ресторане,BOOK_RESTAURANT
Какой остаток на моих счетах,CHECK_ACCOUNT 
Что можно приготовить из тыквы? . А из яблок?,COOKING
Напомни о тренировке утром,REMINDER
А сможешь поставить напоминание покормить кота?,REMINDER
Как можно рассчитывайся бонусами Спасибо,SBER_PRODUCTS
Можешь заказать такси на конкретное время? . На шесть часов,ORDER_TAXI
Покажи магазины рядом,NAVIGATE
Что ты можешь?,LEGEND
какое кино я смотрел вчера . что там было в в начале фильма,PLAY_MOVIE
Покажи путь до Сретенского бульвара,NAVIGATE
Покажи напоминания,REMINDER
Включи детям мультики,PLAY_MOVIE
Ты пьешь?,LEGEND
У тебя есть парень?,LEGEND
Поставь громкость на минимум ,HARD_COMMAND
Что есть похожего на Интерстеллар?,PLAY_MOVIE
Поставь будильник на завтра на восемь утра нет на девять утра,SET_ALARM
"Окей, Гугл",LEGEND
Сколько завтра градусов?,WEATHER
Включи мозги?,FAIL_FEEDBACK
Переведи за электричество тысячу рублей,COMMUNAL_PAYMENTS
Кто любимая певица,LEGEND
Поставь пожалуйста песни на французском ,PLAY_MUSIC
Поставь каверы в стиле джаз,PLAY_MUSIC
Что нового случилось в мире?,READ_NEWS
Громче,HARD_COMMAND
Может устроим дискотеку девяностох,PLAY_MUSIC
Что на часах?,TIME
Закажи срочно такси,ORDER_TAXI
Мультик для детей ,PLAY_MOVIE
Будет ли завтра дождь?,WEATHER
Закажи стол в кафетерии,BOOK_RESTAURANT
Вызвать такси на семь человек до Одинцово . Нет на восемь,ORDER_TAXI
